,trip_id,time,rel_dist,route_id,direction_id,shape_id,geometry
4130,B20171105WKD_052800_E..S71R,09:00:00,0.2341350453518462,E,1.0,E..S71R,POINT (-73.85329350990257 40.72677568799255)
4133,B20171105WKD_052850_E..N66R,09:00:00,0.18198727359595246,E,0.0,E..N66R,POINT (-73.99209169324683 40.75407141444411)
4134,B20171105WKD_052850_F..S68R,09:00:00,0.14238143583476,F,1.0,F..S68R,POINT (-73.83711994716833 40.7182270902194)
4135,B20171105WKD_052850_F..S68R,10:00:00,0.8450786052125032,F,1.0,F..S68R,POINT (-73.97796643288842 40.66225627838546)
4137,B20171105WKD_052950_B..S45R,09:00:00,0.1100182004938931,B,1.0,B..S45R,POINT (-73.91256242695094 40.84132126194542)
4138,B20171105WKD_052950_B..S45R,10:00:00,0.8860017459436451,B,1.0,B..S45R,POINT (-73.95929378703016 40.61706349116318)
4139,B20171105WKD_052950_F..N69R,09:00:00,0.09314957808235619,F,0.0,F..N69R,POINT (-73.97337629693536 40.61081227558424)
4140,B20171105WKD_052950_F..N69R,10:00:00,0.6672372118877944,F,0.0,F..N69R,POINT (-73.91855288107834 40.75368836085379)
4142,B20171105WKD_053000_J..N54R,09:00:00,0.27781731921019087,J,0.0,J..N54R,POINT (-73.98251401551066 40.71672154268432)
4143,B20171105WKD_053000_L..S01R,09:00:00,0.3109455283330544,L,1.0,L..S01R,POINT (-73.95545176387006 40.71642156395052)
4145,B20171105WKD_053100_A..N54R,09:00:00,0.09632955313624648,A,0.0,A..N54R,POINT (-73.86280876709885 40.67853485703505)
4146,B20171105WKD_053100_A..N54R,10:00:00,0.9000189065989592,A,0.0,A..N54R,POINT (-73.93991636849951 40.83886109425242)
4147,B20171105WKD_053100_H..S21R,09:00:00,0.9466361396664044,H,1.0,H..S21R,POINT (-73.83316292131293 40.58155188347635)
4148,B20171105WKD_053100_J..S12R,09:00:00,0.19696968417430225,J,1.0,J..S12R,POINT (-73.84555676757768 40.69514913028348)
4149,B20171105WKD_053100_L..N01R,09:00:00,0.21063693709081047,L,0.0,L..N01R,POINT (-73.90374775597927 40.68045467724163)
4153,B20171105WKD_053200_C..S04R,09:00:00,0.12542027023653013,C,1.0,C..S04R,POINT (-73.95434300737003 40.80582281801669)
4154,B20171105WKD_053200_C..S04R,10:00:00,1.0,C,1.0,C..S04R,POINT (-73.872106 40.675377)
4156,B20171105WKD_053250_L..N05R,09:00:00,0.29878291152839614,L,0.0,L..N05R,POINT (-73.9397895009643 40.70737103726588)
4161,B20171105WKD_053300_E..S71R,09:00:00,0.12554579224648665,E,1.0,E..S71R,POINT (-73.82791641854061 40.71293738596246)
4162,B20171105WKD_053300_L..S01R,09:00:00,0.203570731552546,L,1.0,L..S01R,POINT (-73.97091576590962 40.72604783851429)
4165,B20171105WKD_053350_D..N07R,09:00:00,0.058289004838708774,D,0.0,D..N07R,POINT (-73.98790972245554 40.59835738358633)
4166,B20171105WKD_053350_D..N07R,10:00:00,0.7492952733203064,D,0.0,D..N07R,POINT (-73.94765249285139 40.81788649094781)
4167,B20171105WKD_053350_E..N66R,09:00:00,0.10915505940869867,E,0.0,E..N66R,POINT (-74.00203728398438 40.73814502599129)
4168,B20171105WKD_053350_F..N68R,09:00:00,0.06792463796824001,F,0.0,F..N68R,POINT (-73.97723035598126 40.63112930596569)
4169,B20171105WKD_053350_F..N68R,10:00:00,0.7341485063279176,F,0.0,F..N68R,POINT (-73.88151186306557 40.74216631783934)
4170,B20171105WKD_053350_F..S69R,09:00:00,0.07534939681103803,F,1.0,F..S69R,POINT (-73.81670163314175 40.70434346459914)
4171,B20171105WKD_053350_F..S69R,10:00:00,0.7438210956346931,F,1.0,F..S69R,POINT (-73.98985689426003 40.67030957046411)
4173,B20171105WKD_053400_B..N46R,09:00:00,0.12032295176224476,B,0.0,B..N46R,POINT (-73.95791723682845 40.60969549974033)
4174,B20171105WKD_053450_L..N01R,09:00:00,0.12395002627740412,L,0.0,L..N01R,POINT (-73.90115115442727 40.66624002488813)
4175,B20171105WKD_053450_R..N93R,09:00:00,0.06135536165532219,R,0.0,R..N93R,POINT (-74.02237945322511 40.63703849789155)
4176,B20171105WKD_053450_R..N93R,10:00:00,0.6870316901298008,R,0.0,R..N93R,POINT (-73.94292661016233 40.74962822115774)
4177,B20171105WKD_053500_C..N04R,09:00:00,0.05841010255772538,C,0.0,C..N04R,POINT (-73.89004168994555 40.67275674857174)
4178,B20171105WKD_053500_C..N04R,10:00:00,0.9158657857025083,C,0.0,C..N04R,POINT (-73.94826008898848 40.81658025984844)
4179,B20171105WKD_053500_J..N12R,09:00:00,0.06895744772936092,J,0.0,J..N12R,POINT (-73.99989186064175 40.71809217460529)
4180,B20171105WKD_053550_D..S14R,09:00:00,0.0320480275507691,D,1.0,D..S14R,POINT (-73.88853480625939 40.87154923427712)
4181,B20171105WKD_053550_D..S14R,10:00:00,0.8093921096564248,D,1.0,D..S14R,POINT (-73.99405750669682 40.6435410524887)
4184,B20171105WKD_053600_F..N69R,09:00:00,0.03780701922710146,F,0.0,F..N69R,POINT (-73.97447170683647 40.58602877084673)
4185,B20171105WKD_053600_F..N69R,10:00:00,0.5881377695250614,F,0.0,F..N69R,POINT (-73.95203620850936 40.75860372480089)
4186,B20171105WKD_053600_L..S05R,09:00:00,0.164127332718709,L,1.0,L..S05R,POINT (-73.98650711343778 40.73301113543171)
4188,B20171105WKD_053700_A..N54R,09:00:00,0.03444510777189505,A,0.0,A..N54R,POINT (-73.83855735111202 40.68145802181797)
4189,B20171105WKD_053700_A..N54R,10:00:00,0.8556242780753546,A,0.0,A..N54R,POINT (-73.94546605347897 40.82258143734829)
4190,B20171105WKD_053700_B..S45R,09:00:00,0.03226041728420622,B,1.0,B..S45R,POINT (-73.89544109834056 40.86455257051886)
4191,B20171105WKD_053700_B..S45R,10:00:00,0.7081751072403341,B,1.0,B..S45R,POINT (-73.97396338392475 40.67925111680817)
4199,B20171105WKD_053800_E..N66R,09:00:00,0.027300382207587525,E,0.0,E..N66R,POINT (-74.00530919042508 40.71834259534671)
4201,B20171105WKD_053800_L..N01R,09:00:00,0.029379815330957848,L,0.0,L..N01R,POINT (-73.89927443684773 40.65092103105947)
4202,B20171105WKD_053900_L..S01R,09:00:00,0.02287390760451591,L,1.0,L..S01R,POINT (-73.99900240647742 40.73826947248237)
4204,B20171105WKD_053950_E..S71R,09:00:00,0.008140815712378676,E,1.0,E..S71R,POINT (-73.80323131553824 40.70166833822437)
4205,B20171105WKD_053950_F..S69R,09:00:00,0.006622826469423224,F,1.0,F..S69R,POINT (-73.78675544934973 40.71208439421711)
4206,B20171105WKD_053950_F..S69R,10:00:00,0.6892070367426761,F,1.0,F..S69R,POINT (-73.98937415811126 40.68829676717829)
4207,B20171105WKD_053950_J..N54R,09:00:00,0.011685801969901169,J,0.0,J..N54R,POINT (-74.01019147780318 40.70771246372347)
4208,B20171105WKD_054000_J..S12R,09:00:00,0.0,J,1.0,J..S12R,POINT (-73.801109 40.702147)
4209,B20171105WKD_054050_D..S07R,10:00:00,0.6894482142696567,D,1.0,D..S07R,POINT (-73.98383351371812 40.67624037298312)
4210,B20171105WKD_054100_C..S04R,10:00:00,0.8794417038609051,C,1.0,C..S04R,POINT (-73.90560375541276 40.67832251554302)
4212,B20171105WKD_054200_B..N46R,10:00:00,0.9451930165637744,B,0.0,B..N46R,POINT (-73.95144645231998 40.81206268978559)
4214,B20171105WKD_054250_A..N55R,10:00:00,0.6175638793499424,A,0.0,A..N55R,POINT (-74.00048056881469 40.70293576230563)
4216,B20171105WKD_054300_D..N07R,10:00:00,0.6126604285956566,D,0.0,D..N07R,POINT (-73.97872468600501 40.77242228042348)
4217,B20171105WKD_054300_F..N69R,10:00:00,0.539550179585596,F,0.0,F..N69R,POINT (-73.97227675207355 40.76716657546346)
4218,B20171105WKD_054450_C..N04R,10:00:00,0.814025831469069,C,0.0,C..N04R,POINT (-73.96542382618688 40.79064615440685)
4219,B20171105WKD_054450_F..S68R,10:00:00,0.7177508889283115,F,1.0,F..S68R,POINT (-73.98690101627913 40.69949395216295)
4222,B20171105WKD_054500_J..N12R,10:00:00,0.9716106076612661,J,0.0,J..N12R,POINT (-73.80769263457739 40.70055682520717)
4223,B20171105WKD_054550_R..N93R,10:00:00,0.5727570261403939,R,0.0,R..N93R,POINT (-73.97899190851913 40.76661696085947)
4226,B20171105WKD_054800_J..S12R,10:00:00,0.9918379010982566,J,1.0,J..S12R,POINT (-74.00990005417525 40.70803491344107)
4230,B20171105WKD_054900_C..S04R,10:00:00,0.7714849031978507,C,1.0,C..S04R,POINT (-73.93905938136052 40.67982209284409)
4231,B20171105WKD_054900_E..N66R,10:00:00,0.981683164647148,E,0.0,E..N66R,POINT (-73.80587248244451 40.7010214426986)
4232,B20171105WKD_054950_F..S69R,10:00:00,0.5906981781801748,F,1.0,F..S69R,POINT (-73.99474921333442 40.72485427346137)
4234,B20171105WKD_055000_B..N46R,10:00:00,0.8498131329132067,B,0.0,B..N46R,POINT (-73.96662589379339 40.78900142967699)
4235,B20171105WKD_055000_F..N69R,10:00:00,0.4854874514580144,F,0.0,F..N69R,POINT (-73.98789510677841 40.74962030402738)
